Timestamp,Почему вы решили искать работу за рубежом?,По каким критериям оцениваете предложения работы?,Насколько серьезно настроены на переезд?,На какой стадии ваши поиски?,Какие страны вы рассматриваете в первую очередь?,Куда точно НЕ хотели бы ехать?,Где вы живете сейчас?,Кем вы работаете?,Сколько вам лет?,Семейное положение
8/4/2016 10:53:47,"Хочу работать в лидерах отрасли (Google, Facebook, Uber и пр.), Спокойная и безопасная жизнь для меня и семьи, Не вижу перспектив оставаться","Условия для релокации (предоставление временного жилья, помощь с релокацией семьи, компенсация расходов на переезд), Возможность получения долгосрочной визы / ВНЖ, Карьерные перспективы",Твердо намерен уехать,Просматриваю вакансии,"Австралия, Великобритания, США","Азия, Восточная Европа (Польша, Болгария, Венгрия и др.), Евросоюз",Киев,Программист,24-26,Пара без детей
8/4/2016 10:53:55,"Хочу работать в лидерах отрасли (Google, Facebook, Uber и пр.), Спокойная и безопасная жизнь для меня и семьи, Не вижу перспектив оставаться","Страна, Условия для релокации (предоставление временного жилья, помощь с релокацией семьи, компенсация расходов на переезд), Насколько интересна вакансия (проект/компания) лично для меня","Готов ехать, если получу хорошее предложение",Просматриваю вакансии,"Канада, (Евросоюз в целом), (Скандинавские страны: Швейция, Дания, Норвегия, Финляндия)",Азия,Харьков,Дизайнер,24-26,"Холост / не замужем, детей нет"
8/4/2016 10:54:00,Не вижу перспектив оставаться,Страна,"Готов ехать, если получу хорошее предложение",Просматриваю вакансии,"(Скандинавские страны: Швейция, Дания, Норвегия, Финляндия)",Азия,Санкт-Петербург,QA,26-27,Пара без детей
8/4/2016 10:54:00,"Спокойная и безопасная жизнь для меня и семьи, Не вижу перспектив оставаться","Страна, Условия для релокации (предоставление временного жилья, помощь с релокацией семьи, компенсация расходов на переезд), Возможность получения долгосрочной визы / ВНЖ",Твердо намерен уехать,Просматриваю вакансии,"Канада, Польша","Австралия, Азия",Киев,QA,23-24,"Холост / не замужем, детей нет"
8/4/2016 10:54:01,Хочется чего-то нового и интересного,"Страна, Насколько интересна вакансия (проект/компания) лично для меня",Твердо намерен уехать,"Получил оффер, собираю документы","(Прибалтика: Литва, Латвия, Эстония)","Австралия, Азия, Восточная Европа (Польша, Болгария, Венгрия и др.)",Киев,Дизайнер,32 или больше,Пара без детей
8/4/2016 10:54:03,"Спокойная и безопасная жизнь для меня и семьи, Не вижу перспектив оставаться, Возможность безбедной жизни (свой дом, машина, накопления на пенсию)","Количество денег на старте, Условия для релокации (предоставление временного жилья, помощь с релокацией семьи, компенсация расходов на переезд), Возможность получения долгосрочной визы / ВНЖ","Готов ехать, если получу хорошее предложение","Рассылаю резюме, интервью пока не было","Канада, США, (Западная Европа)","Австралия, Восточная Европа (Польша, Болгария, Венгрия и др.)",Киев,Программист,29-32,Пара без детей
8/4/2016 10:54:09,"Спокойная и безопасная жизнь для меня и семьи, Не вижу перспектив оставаться",Возможность уехать побыстрее,Твердо намерен уехать,Уже уехал,"Великобритания, Германия",Прибалтика,(другая страна),Дизайнер,32 или больше,Пара с детьми
8/4/2016 10:54:10,"Спокойная и безопасная жизнь для меня и семьи, Не вижу перспектив оставаться, Возможность безбедной жизни (свой дом, машина, накопления на пенсию)","Количество денег на старте, Карьерные перспективы","Готов ехать, если получу хорошее предложение",Просматриваю вакансии,"Австралия, Великобритания",,Киев,QA,29-32,"Холост / не замужем, детей нет"
8/4/2016 10:54:10,"Спокойная и безопасная жизнь для меня и семьи, Не вижу перспектив оставаться","Страна, Возможность уехать побыстрее",Твердо намерен уехать,"Рассылаю резюме, интервью пока не было","Нидерланды, (Скандинавские страны: Швейция, Дания, Норвегия, Финляндия)",Прибалтика,Киев,Менеджер,29-32,Пара без детей
8/4/2016 10:54:11,Спокойная и безопасная жизнь для меня и семьи,"Страна, Условия для релокации (предоставление временного жилья, помощь с релокацией семьи, компенсация расходов на переезд), Возможность получения долгосрочной визы / ВНЖ","Готов ехать, если получу хорошее предложение","Рассылаю резюме, интервью пока не было","Австралия, (Западная Европа), (Прибалтика: Литва, Латвия, Эстония)","(Готов ехать куда угодно, если остальные условия устраивают)",Москва,Программист,32 или больше,Пара с детьми
